title,location,year,month,day,event
Miletus,37.530233 27.278369,-499,0,0,"After a failed attack on the rebellious island of Naxos in 502 BC (on behalf of the Persians), Aristagoras, to save himself from the wrath of Persia, plans a revolt with the Milesians and the other Ionians. With the encouragement of Histiaeus (his father-in-law and former tyrant of Miletus), Aristagoras, governor of Miletus, induces the Ionian cities of Asia Minor to revolt against Persia, thus instigating the Ionian Revolt and beginning the Greco-Persian Wars between Greece and Persia. The pro-Persian tyrant of Mytilene is stoned to death."
Sparta,37.07583303 22.42083165,-499,0,0,"Aristagoras seeks help with the revolt against the Persians from Cleomenes I, the King of Sparta, but the Spartans are unwilling to respond."
Imbros,40.156499374 25.83999664,-499,0,0,"Miltiades the Younger, the ruler of the Thracian Chersonese, which has been under Persian suzerainty since approximately 514 BC, joins the Ionian revolt. He seizes the islands of Lemnos and Imbros from the Persians."
Miletus,37.530233 27.278369,-498,0,0,"Athens and Eretria respond to the Ionian plea for help against Persia and send troops. An Athenian and Eretrian fleet transports Athenian troops to Ephesus. There they are joined by a force of Ionians and march upon Sardis, the capital of Artaphernes (the satrap of Lydia and brother to Darius I of Persia). Artaphernes, who has sent most of his troops to besiege Miletus, is taken by surprise. However, Artaphernes is able to retreat to the citadel and hold it. Although the Greeks are unable to take the citadel, they pillage the town and set fires that burn Sardis to the ground."
Salamis Cyprus,35.1833326 33.8999964,-498,0,0,"Kaunos and Caria, followed by Byzantium and towns in the Hellespont also revolt against the Persians. Cyprus also joins the rebellion, as Onesilus removes his pro-Persian brother, Gorgos, from the throne of Salamis."
Naxos (Sicily),37.825 15.269,-498,0,0,"After the assassination of Cleander, tyrant of Gela, power is transferred to his brother, Hippocrates, who subdues the Sicels and conquers the Chalcidian cities of Callipoli, Leontini, Naxos and Zancle (now known as Messina). He also captures the Syracusan city of Camarina, but is prevented from capturing Syracuse itself when Corinth and Corcyra interferes in the war."
Tianjin,39.1249995 117.19499922,-497,0,0,The city of Tianjin is founded.
Carthage,36.851829926 10.320498718,-496,0,0,Carthage and Rome make a treaty whereby Roman ships undertake not to trade to the west of Carthage while the Carthaginians undertake not to interfere in Latin politics.
China,35.0 105.0,-496,0,0,"King Goujian of Yue defeats and banishes King Fuchai of Wu, gaining a temporary hegemony in ancient China during the Spring and Autumn Period."
Circus Maximus,41.8859 12.4857,-495,0,0,"A temple is built on the Circus Maximus, between the Aventine and Palatine hills, in Rome, in honour of the god Mercury."
Lesbos,39.166666 26.333332,-494,0,0,"Having successfully captured several of the revolting Greek city-states, the Persians under Artaphernes lay siege to Miletus. The decisive Battle of Lade is fought at the island of Lade, near Miletus' port. Although out-numbered, the Greek fleet appears to be winning the battle until the ships from Samos and Lesbos retreat. The sudden defection turns the tide of battle, and the remaining Greek fleet is completely destroyed. Miletus surrenders shortly thereafter, and the Ionian Revolt comes to an end."
Didyma,37.384962 27.25643,-494,0,0,The Persians burn down the Temple of Apollo at Didyma.
Chersonesos Taurica,44.61166422 33.49333136,-494,0,0,"The Thracians and Scythians drive Miltiades the Younger from the Chersonesos. Miltiades loads five boats with his treasures and makes for Athens. One of the boats, captained by Miltiades' eldest son, Metiochos is captured. Metiochos is taken as a lifelong prisoner to Persia."
Tiryns,37.592997628 22.793163494,-494,0,0,"The Spartan king, Cleomenes I inflicts a severe defeat on Argos at Sepeia near Tiryns."
Sardis,38.486331388 28.03749985,-494,0,0,"The former tyrant of Miletus, Histiaeus is captured by the Persians and executed at Sardis by Artaphernes."
Miletus,37.530233 27.278369,-493,0,0,The Athenian poet Phrynicus produces a tragedy on the ''Fall of Miletus''. The Athenian authorities ban the play from further production on the grounds of impiety.
Mount Athos,40.154332716 24.32249871,-492,0,0,"Mardonius loses some 300 ships in a storm off Mount Athos, which forces him to abandon his plans to attack Athens and Eretria."
Sparta,37.07583303 22.42083165,-491,0,0,"Darius I sends envoys to all Greek cities, demanding earth and water for vassalage which Athens and Sparta refuse however."
Sparta,37.07583303 22.42083165,-491,0,0,"The Greek city of Aegina, fearing the loss of trade, submits to Persia. The Spartan king, Cleomenes I tries to punish Aegina for its submission to the Persians, but the other Spartan king, Demaratus, thwarts him."
University of Chicago,41.787163518 -87.593164294,-491,0,0,"The construction of a relief begins in the Apadana, a ceremonial complex at Persepolis. The relief pictures Darius I and Xerxes I receiving tribute and is now displayed in the Oriental Institute of the University of Chicago."
Aegean Sea,36.4666648 22.9499962,-490,0,0,"Darius I sends an expedition, under Artaphernes and Datis the Mede across the Aegean to attack the Athenians and the Eretrians. Hippias, the aged ex-tyrant of Athens, is on one of the Persian ships in the hope of being restored to power in Athens."
Anatolia,39 32,-490,0,0,"When the Ionian Greeks in Asia Minor rebelled against Persia in 499 BC, Eretria joined Athens in sending aid to the rebels. As a result, Darius makes a point of punishing Eretria during his invasion of Greece. The city is sacked and burned and Darius enslaves its inhabitants. He intends the same fate for Athens."
Sparta,37.07583303 22.42083165,-490,0,0,"Before the Battle of Marathon, the Athenians send a runner, Pheidippides, to seek help from Sparta. However, the Spartans delay sending troops to Marathon because religious requirements (the Carnea) mean they must wait for the full moon."
Sparta,37.07583303 22.42083165,-490,0,0,"The Greek historian Herodotus, the main source for the Greco-Persian Wars, mentions Pheidippides as the messenger who runs from Athens to Sparta asking for help, and then runs back, a distance of over 240 kilometres each way. After the battle, he runs back to Athens to spread the news and raise the spirits. It is claimed that his last words before collapsing and dying in Athens are Chariete nikomen (Rejoice, we are victorious)."
Sardis,38.486331388 28.03749985,-490,0,0,Hippias dies at Lemnos on the journey back to Sardis after the Persian defeat.
Sparta,37.07583303 22.42083165,-490,0,0,"Cleomenes I is forced to flee Sparta when his plot against Demaratus is discovered, but the Spartans allow him to return when he begins gathering an army in the surrounding territories. However, by this time he has become insane, and the Spartans put him in prison. Shortly after, he commits suicide. He is succeeded as King of Sparta by a member of the Agiad house, his half-brother, Leonidas."
Plataea,38.209332496 23.266832266,-490,9,12,"September 12 &ndash; The Battle of Marathon takes place as a Persian army of more than 20,000 men is advised by Hippias to land in the Bay of Marathon, where they meet the Athenians supported by the Plataeans. The Persians are repulsed by 11,000 Greeks under the leadership of Callimachus and Miltiades. Some 6,400 Persians are killed at a cost of 192 Athenian dead. Callimachus, the war-archon of Athens, is killed in the battle. After the battle, the Persians return home."
Paros,37.083333 25.1499994,-489,0,0,"After his great victory in the Battle of Marathon, Miltiades leads a naval expedition to Paros to pay off a private score. However, the expedition is unsuccessful and, on his return, he is fined in a prosecution led by Xanthippus and put in prison where he dies of wounds received at Paros."
Aegina,37.749997 23.4333316,-487,0,0,"The island of Aegina and the city of Athens go to war. The island has earned the enmity of Athens by earlier submitting to the Persians. The Spartan King, Leotychidas, tries unsuccessfully to arrange a truce in the war."
