strain_barcode	Strain_Name	Collection_month	Collection_year	Country	Lab_contact	Source_details	Source_niche	Source_type	sample_accession	secondary_sample_accession	secondary_study_accession	study_accession	MLST_ACHTMAN_ST
SAL_BA8354AA	80593	1	2015	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479927	SRS906469	SRP042645	PRJNA248792	11
SAL_BA9204AA	63916	11	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479559	SRS906060	SRP042645	PRJNA248792	11
SAL_DA0378AA	H121660236	4	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03169704	SRS741054	SRP042645	PRJNA248792	11
SAL_CA6428AA	64957	11	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03466042	SRS898179	SRP042645	PRJNA248792	11
SAL_CA6282AA	53986	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03466188	SRS898333	SRP042645	PRJNA248792	11
SAL_CA7206AA	FDA00002688	2	2008	Mexico	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	cookies roscanela	Food	Plant	SAMN02846072	SRS877532	SRP018785	PRJNA186035	11
SAL_BA5133AA	PNUSAS000277			United States					SAMN03604079	SRS932279	SRP040281	PRJNA230403	11
SAL_AA9872AA	UY017-sc-2013-10-08T14:24:02Z-1711464				THE SANGER CENTER				SAMEA2201651	ERS354054	ERP003958	PRJEB4649	11
SAL_EA7708AA	20903			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363295	SRS1219667	SRP042645	PRJNA248792	11
SAL_BA6179AA	15MN00132	4	2015	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"feces; Homo sapiens"	Human	Human	SAMN03487616	SRS919047	SRP040026	PRJNA237212	11
SAL_BA0154AA	04_5767-sc-2013-06-10T14:57:24Z-1611315				THE SANGER CENTER				SAMEA2077851	ERS255491	ERP001965	PRJEB634	11
SAL_CA2860AA	45609	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477201	SRS903743	SRP042645	PRJNA248792	11
SAL_EA8076AA	18607			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04362921	SRS1219243	SRP042645	PRJNA248792	11
SAL_DA3814AA	IEH-NGS-SAL-01214	11	2006	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"patient isolate; Homo sapiens"	Human	Human	SAMN02952824	SRS693875	SRP018785	PRJNA186035	11
SAL_DA9033AA	MDH-2014-00207	8	2000	United States		"feces; Homo sapiens"	Human	Human	SAMN02646980	SRS569716	SRP040026	PRJNA237212	11
SAL_CA3003AA	45621	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477046	SRS903589	SRP042645	PRJNA248792	11
SAL_BA9100AA	RD42-sc-2013-02-27T10:26:34Z-1500435				THE SANGER CENTER				SAMEA2054180	ERS217220	ERP001965	PRJEB634	11
SAL_CA3787AA	63714	10	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03476263	SRS902765	SRP042645	PRJNA248792	11
SAL_GA1290AA	S355_13-sc-2140709				The Wellcome Trust Sanger Institute				SAMEA2794667	ERS556646	ERP007134	PRJEB7407	11
SAL_AA9876AA	UY013-sc-2013-10-08T12:42:42Z-1711460				THE SANGER CENTER				SAMEA2201442	ERS353821	ERP003958	PRJEB4649	11
SAL_CA3399AA	24056	6	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03476650	SRS903267	SRP042645	PRJNA248792	11
SAL_BA4045AA	533511-sc-2013-04-16T07:32:23Z-1611055				THE SANGER CENTER				SAMEA2062722	ERS235875	ERP001965	PRJEB634	11
SAL_EA7331AA	29964			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363742	SRS1220062	SRP042645	PRJNA248792	11
SAL_EA7967AA	20938			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363031	SRS1219501	SRP042645	PRJNA248792	11
SAL_GA1260AA	S01045_06-sc-2140532				The Wellcome Trust Sanger Institute				SAMEA2794484	ERS556463	ERP007134	PRJEB7407	11
SAL_DA0408AA	H124080667	10	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03169674	SRS741024	SRP042645	PRJNA248792	11
SAL_EA7678AA	43933			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363327	SRS1219701	SRP042645	PRJNA248792	11
SAL_CA2658AA	46575	7	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477403	SRS903907	SRP042645	PRJNA248792	11
SAL_EA7963AA	43959			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363035	SRS1219388	SRP042645	PRJNA248792	11
SAL_FA3509AA	122682	6	2015	United Kingdom	Public Health England	Other	ND	ND	SAMN04576497	SRS1357754	SRP042645	PRJNA248792	11
SAL_DA7384AA	MDH-2014-00797	4	2014	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"Faeces; Homo sapiens"	Human	Human	SAMN02741942	SRS602904	SRP040026	PRJNA237212	11
SAL_EA9974AA	6282_96-sc-2416994				THE SANGER CENTER				SAMEA3594009	ERS901158	ERP012313	PRJEB10999	11
SAL_BA2304AA	NY56657591	6	2015	United States	None	"Stool/Fecal; Homo sapiens"	Human	Human	SAMN03838283	SRS977701	SRP033012	PRJNA227458	11
SAL_AA9854AA	UY024-sc-2013-10-08T14:24:10Z-1711471				THE SANGER CENTER				SAMEA2201658	ERS354061	ERP003958	PRJEB4649	11
SAL_BA4565AA	MM_PT4_1				THE SANGER CENTER				SAMEA2018905	ERS159726	ERP001671	PRJEB3186	11
SAL_EA7441AA	56961			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363627	SRS1219946	SRP042645	PRJNA248792	11
SAL_BA8573AA	40365	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479816	SRS906317	SRP042645	PRJNA248792	11
SAL_CA0716AA	34207	7	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03478708	SRS905247	SRP042645	PRJNA248792	11
SAL_FA3482AA	123914	6	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04576526	SRS1357818	SRP042645	PRJNA248792	11
