id	latitude	longitude	country	countryshape	countrycolour	region	year	serotype	inferred serotype	ST	inferredST	source	ENA Accession	Isolate Name
539011	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1990	6B	6C	90	90	Sputum	ERR028590	spnIC42
5390110	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1989	6B	6C	90	90	Middle ear	ERR028591	spnIC104
5390111	65.033333	-14.216667	Iceland	circle	#FFA500	Reydarfjordur	1990	6B	6C	90	90	Nasopharynx	ERR028592	spnIC116
539012	64.111389	-21.904722	Iceland	circle	#FFA500	Kopavogur	1990	6B	6C	90	90	Middle ear	ERR028594	spnIC41
539013	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1990	6B	6C	90	90	Sputum	ERR028595	spnIC38
539014	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1991	6B	6C	90	90	Middle ear	ERR028596	spnIC28
539015	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1991	6B	6C	90	90	Middle ear	ERR028597	spnIC19
539016	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1991	6B	6C	90	90	Middle ear	ERR028598	spnIC10
539017	65.6884921	-18.1261693	Iceland	circle	#FFA500	Akureyri	1991	6B	6C	90	90	Sputum	ERR028599	spnIC6
539018	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1991	6B	6C	90	90	Middle ear	ERR028600	spnIC2
539019	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1993	6B	6C	90	90	Conjunctiva	ERR028601	spnIC100
539251	40.463667	-3.74922	Spain	circle	#FF0000		1987-1989	6B	6C	90	SLV90		ERR028734	spnSP522
5392510	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1990	6B	6C	90	90	Sinus	ERR028735	spnIC49
5392511	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1990	6B	6C	90	90	Sputum	ERR028736	spnIC48
5392512	64.111389	-21.904722	Iceland	circle	#FFA500	Kopavogur	1990	6B	6C	90	90	Middle ear	ERR028737	spnIC43
539252	40.463667	-3.74922	Spain	circle	#FF0000		1987-1989	6B	6C	90	90		ERR028738	spnSP681
539253	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1987-1989	6B	6C	90	90	Middle ear	ERR028739	spnIC59
539254	64.111389	-21.904722	Iceland	circle	#FFA500	Kopavogur	1989	6B	6C	90	90	Middle ear	ERR028740	spnIC58
539255	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1989	6B	6C	90	90	Middle ear	ERR028741	spnIC57
539256	64.25	-15.208333	Iceland	circle	#FFA500	Hofn	1989	6B	6C	90	90	Middle ear	ERR028742	spnIC55
539257	64.2121461	-20.714785	Iceland	circle	#FFA500	Laugavatn	1989	6B	6C	90	90	Sputum	ERR028743	spnIC54
539258	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1989	6B	6C	90	90	Middle ear	ERR028744	spnIC52
539259	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1990	6B	6C	90	90	Middle ear	ERR028745	spnIC51
539261	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1992	6B	6C	90	90	Middle ear	ERR028747	spnIC139
5392610	66.0685282	-18.4163704	Iceland	circle	#FFA500	Eyjafjordur	1993	6B	6C	90	90	Middle ear	ERR028748	spnIC192
5392611	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1993	6B	6C	90	90	Nasopharynx	ERR028749	spnIC195
5392612	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1993	6B	6C	90	90	Middle ear	ERR028750	spnIC197
539262	63.98494	-22.60574	Iceland	circle	#FFA500	U.S. Naval Hospital	1992	6B	6C	90	90	Nasopharynx	ERR028751	spnIC141
539263	64.963051	-19.020835	Iceland	circle	#FFA500		1992	6B	6C	90	90	Middle ear	ERR028752	spnIC145
539264	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1992	6B	6C	90	90	Nasopharynx	ERR028753	spnIC161
539265	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1993	6B	6C	90	90	Nasopharynx	ERR028754	spnIC174
539266	66.0685282	-18.4163704	Iceland	circle	#FFA500	Eyjafjordur	1993	6B	6C	90	90		ERR028755	spnIC176
539267	64.133333	-21.933333	Iceland	circle	#FFA500	Reykjavik	1993	6B	6C	90	90	Middle ear	ERR028756	spnIC178
