Strain	emm type	Group carbohydrate	ST	Location	Collection
223754	stC839	C	3	Portugal	UL
386041	stC839	C	3	Portugal	UL
MD504	stC839	C	3	Australia	QIMR
GCS01ny	stC1400	C	3	Other	NYMC
GCS02ny	stC839	C	3	USA	NYMC
GCS03ny	stG653	C	3	USA	NYMC
SH0004	stG6792	G	4	Portugal	UL
SH0113	stG6792	G	4	Portugal	UL
SH0124	stG6792	G	4	Portugal	UL
MD834	stC36	G	4	Australia	QIMR
230631	stG480	G	8	Portugal	UL
299298	stG643	G	8	Portugal	UL
GGS592	stG480	G	8	Australia	QIMR
MD01	stG11	G	8	Australia	QIMR
GGS12ny	stG11	G	8	Other	NYMC
GGS13ny	stG480	G	8	Other	NYMC
GGS101	stG643	G	12	Australia	QIMR
GGS11543	stG643	G	12	Australia	QIMR
GGS430	stG643	G	12	Australia	QIMR
220269	stG2078	G	15	Portugal	UL
378119	stC839	G	15	Portugal	UL
450784	stG10	G	15	Portugal	UL
460880	stG10	G	15	Portugal	UL
SH0032	stG166b	G	15	Portugal	UL
SH0218	stG245	G	15	Portugal	UL
GGS2	stG10	G	15	Australia	QIMR
GGS463	stG10	G	15	Australia	QIMR
GGS545448	stG10	G	15	Australia	QIMR
MD02	stG10	G	15	Australia	QIMR
MD09	stG10	G	15	Australia	QIMR
MD136	stG10	G	15	Australia	QIMR
MD296	stG10	G	15	Australia	QIMR
NS542	stG652	G	15	Australia	QIMR
GGS14ny	stG10	G	15	USA	NYMC
363962	stG2078	G	17	Portugal	UL
SH0102	stG2078	G	17	Portugal	UL
MD03	stG2078	G	17	Australia	QIMR
MD031	stC74a	G	17	Australia	QIMR
MD08	stG2078	G	17	Australia	QIMR
423738	stG62647	C	20	Portugal	UL
GCS2816	stG62647	C	20	Australia	QIMR
GCS6894	stG62647	C	20	Australia	QIMR
GCS6929	stG62647	C	20	Australia	QIMR
MD227	stC6979	C	20	Australia	QIMR
MD605	stG62647	C	20	Australia	QIMR
313247	stG6	G	25	Portugal	UL
SH0015	stG6	G	25	Portugal	UL
SH0110	stG6	G	25	Portugal	UL
SH0336	stG5420	G	25	Portugal	UL
MD04	stG6	G	25	Australia	QIMR
MD934	stG5420	G	25	Australia	QIMR
231995	stC74a	G	29	Portugal	UL
G121	stC74a	G	29	Australia	QIMR
G122	stC74a	G	29	Australia	QIMR
GGS11172	stC74a	G	29	Australia	QIMR
GGS539813	stC74a	G	29	Australia	QIMR
GGS540048	stG485	G	29	Australia	QIMR
GGS9225	stC74a	G	29	Australia	QIMR
MD06	stC74a	G	29	Australia	QIMR
MD122	stC74a	G	29	Australia	QIMR
MD722	stC74a	G	29	Australia	QIMR
GGS15ny	stC74a	G	29	Other	NYMC
GGS16ny	stG485	G	29	Other	NYMC
171712	stG480	G	38	Portugal	UL
GGS17ny	stG480	G	38	USA	NYMC
GGSRHD	stG480	G	39	Australia	QIMR
GGS18ny	stG480	G	40	USA	NYMC
380870	stG480	G	41	Portugal	UL
GGS19ny	stG11	G	42	Other	NYMC
GCS04ny	stC5344	C	43	Other	NYMC
GGS10b	stG6	G	44	Australia	QIMR
GGS24	stG6	G	44	Australia	QIMR
NS752	stG6	G	44	Australia	QIMR
GGS20ny	stC36	G	45	USA	NYMC
GCS10128	stC1400	C	46	Australia	QIMR
168554	stG485	G	47	Portugal	UL
GCS05ny	stG643	C	48	USA	NYMC
SH0330	stC36	C	49	Portugal	UL
GCS06ny	stC36	C	49	USA	NYMC
241940	stC36	C	50	Portugal	UL
GCS07ny	stG6792	C	51	Other	NYMC
SH0107	stG643	G	52	Portugal	UL
GGS21ny	stG6	G	52	USA	NYMC
GCS08ny	stC5345	C	53	Other	NYMC
GGS569	stC6979	G	54	Australia	QIMR
MD248	stC6979	G	54	Australia	QIMR
MD499	stC6979	G	54	Australia	QIMR
MD921	stC6979	G	54	Australia	QIMR
SH0275	stG485	G	55	Portugal	UL
GGS075	stG166b	G	56	Australia	QIMR
618280	emm57	G	57	Portugal	UL
MD07	stG6	G	58	Australia	QIMR
MD805	stG652	G	59	Australia	QIMR
MD872	stG62647	C	60	Australia	QIMR
DSM6176	stG652	C	61	Other	other
542567	stG6	G	62	Portugal	UL
MD05	stG6	G	63	Australia	QIMR
MD163	stG652	G	63	Australia	QIMR
GGS19	stC1400	G	64	Australia	QIMR
273600	stG166b	G	65	Portugal	UL
GGS985	stC1400	G	66	Australia	QIMR
MD411	stC1400	G	66	Australia	QIMR
GGS 124	stG480	G	67	Other	other
GCS09ny	stC36	C	68	USA	NYMC
493188	stG485	C	69	Portugal	UL
SH0254	stG485	C	69	Portugal	UL
GCS10ny	stC74a	C	70	Other	NYMC
SH0259	stG652	G	71	Portugal	UL
394314	stG2078	G	72	Portugal	UL
MD633	stG643	G	73	Australia	QIMR
GGS120	stG4831	G	74	Australia	QIMR
NS1121	stG4831	G	75	Australia	QIMR
GGS22ny	stG4831	G	76	Other	NYMC
GGS23ny	stC74a	G	77	USA	NYMC
GCS11ny	stC839	C	78	Other	NYMC
GGS24ny	stG4974	G	79	Other	NYMC
SH0257	stC6979	C	80	Portugal	UL
