FILE	ST	CC	serotype
7011_4#3	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
7004_5#21	4414	-	19F
6731_1#1	4414	-	19F
6710_7#20	4414	-	19F
6710_7#20	4414	-	19F
6731_4#5	4414	-	19F
6731_4#5	4414	-	19F
6731_4#5	4414	-	19F
6680_6#13	4414	-	19F
6755_1#22	4414	-	19F
6736_8#14	4414	-	19F
6731_5#9	4414	-	19F
6807_2#24	4414	-	19F
6823_3#18	4414	-	19F
6823_3#18	4414	-	19F
6823_3#18	4414	-	19F
6823_3#18	4414	-	19F
6823_3#18	4414	-	19F
6823_3#18	4414	-	19F
6823_3#18	4414	-	19F
6871_1#1	4414	-	19F
6680_5#18	4414	-	19F
6972_3#13	4414	-	19F
6259_8#16	4414	-	19F
6259_8#16	4414	-	19F
6259_8#16	4414	-	19F
6259_8#16	4414	-	19F
6823_3#11	4414	-	19F
6823_3#11	4414	-	19F
6823_3#11	4414	-	19F
6823_3#11	4414	-	19F
6823_3#11	4414	-	19F
6680_4#22	4414	-	19F
6755_4#22	4414	-	19F
6807_3#1	4414	-	19F
6807_3#1	4414	-	19F
6753_3#1	4414	-	19F
6753_3#1	4414	-	19F
6753_3#1	4414	-	19F
6731_1#15	5114	-	19F
6731_1#15	5114	-	19F
6823_3#22	4414	-	19F
6680_7#22	4414	-	19F
6593_4#7	4414	-	19F
7038_6#1	4414	-	19F
7038_6#1	4414	-	19F
6949_2#18	4414	-	19F
6807_1#19	4414	-	19F
6807_1#19	4414	-	19F
6731_5#21	4414	-	19F
6731_3#6	4414	-	19F
6710_7#4	4414	-	19F
6840_3#7	4414	-	19F
6925_7#14	4414	-	19F
6925_7#14	4414	-	19F
6871_1#3	4414	-	19F
6983_5#13	4414	-	19F
6823_5#10	4414	-	19F
6840_1#16	4414	-	19F
6755_4#23	SLV4414	-	19F
6775_2#19	4414	-	19F
6899_5#17	4414	-	19F
6680_4#24	4414	-	19F
6680_4#1	4414	-	19F
6641_6#19	4414	-	19F
