strain_barcode	Strain_Name	Collection_month	Collection_year	Country	Lab_contact	Source_details	Source_niche	Source_type	sample_accession	secondary_sample_accession	secondary_study_accession	study_accession	MLST_ACHTMAN_ST
SAL_CA7206AA	FDA00002688	2	2008	Mexico	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	cookies roscanela	Food	Plant	SAMN02846072	SRS877532	SRP018785	PRJNA186035	11
SAL_BA5133AA	PNUSAS000277			United States					SAMN03604079	SRS932279	SRP040281	PRJNA230403	11
SAL_BA6179AA	15MN00132	4	2015	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"feces; Homo sapiens"	Human	Human	SAMN03487616	SRS919047	SRP040026	PRJNA237212	11
SAL_DA3814AA	IEH-NGS-SAL-01214	11	2006	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"patient isolate; Homo sapiens"	Human	Human	SAMN02952824	SRS693875	SRP018785	PRJNA186035	11
SAL_BA6249AA	15MN00099	3	2015	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"feces; Homo sapiens"	Human	Human	SAMN03487591	SRS919000	SRP040026	PRJNA237212	11
SAL_BA6186AA	15MN00112	4	2015	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"feces; Homo sapiens"	Human	Human	SAMN03487601	SRS919038	SRP040026	PRJNA237212	11
SAL_BA2338AA	2015K-0433			United States	EDLB-CDC				SAMN03785522	SRS975590	SRP040281	PRJNA230403	11
SAL_AA9850AA	UY028-sc-2013-10-08T14:24:14Z-1711475				THE SANGER CENTER				SAMEA2201662	ERS354065	ERP003958	PRJEB4649	11
SAL_AA9806AA	UY050-sc-2013-10-08T14:24:40Z-1711497				THE SANGER CENTER				SAMEA2201684	ERS354087	ERP003958	PRJEB4649	11
SAL_BA8596AA	IEH_NGS_SAL_00196	11	2006	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"Patient Isolate; Homo sapiens"	Human	Human	SAMN02265283	SRS469266	SRP018785	PRJNA186035	11
SAL_BA5131AA	PNUSAS000278			United States					SAMN03604080	SRS932293	SRP040281	PRJNA230403	11
SAL_EA3516AA	E2015014785	10	2015	United States	CFSAN	"homo sapiens; Feces"	Human	Human	SAMN04191574	SRS1127389	SRP040026	PRJNA237212	11
SAL_BA5663AA	CFSAN032485	1	2006	Argentina	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	chocolate mousse	Food	Composite Food	SAMN03492331	SRS923006	SRP057694	PRJNA271293	11
SAL_DA9207AA	EC20121177			Canada		ND	Food	ND	SAMN02384315	SRS566170	SRP039437	PRJNA219482	11
SAL_BA4387AA	15MN00155	5	2015	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"feces; Homo sapiens"	Human	Human	SAMN03658268	SRS942994	SRP040026	PRJNA237212	11
SAL_AA9851AA	UY027-sc-2013-10-08T14:24:13Z-1711474				THE SANGER CENTER				SAMEA2201661	ERS354064	ERP003958	PRJEB4649	11
SAL_CA0894AA	CFSAN002046			Mexico	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	ND	Human	Human	SAMN01889552	SRS397555	SRP018785	PRJNA186035	11
SAL_AA9832AA	UY035-sc-2013-10-08T14:24:22Z-1711482				THE SANGER CENTER				SAMEA2201669	ERS354072	ERP003958	PRJEB4649	11
SAL_FA8221AA	ARIM-SE1258-05	5	2005	Argentina	FDA Center for Food Safety and Applied Nutrition	"poultry; Gallus gallus"	Poultry	Avian	SAMN03743858	SRS1526521	SRP057694	PRJNA271293	11
SAL_BA5671AA	CFSAN032487	4	2008	Argentina	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"stool; Homo sapiens"	Human	Human	SAMN03492333	SRS922991	SRP057694	PRJNA271293	11
SAL_AA9833AA	UY034-sc-2013-10-08T14:24:21Z-1711481				THE SANGER CENTER				SAMEA2201668	ERS354071	ERP003958	PRJEB4649	11
SAL_GA3166AA	CFSAN005936		2005		UCD-100K	"Chicken; Gallus gallus"	Poultry	Avian	SAMN02368123	SRS535998	SRP022914	PRJNA203445	11
SAL_DA3566AA	IEH-NGS-SAL-01212	11	2006	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"patient isolate; Homo sapiens"	Human	Human	SAMN02952822	SRS696148	SRP018785	PRJNA186035	11
