file	ST	CC	serotype	study	studyst
NC_003028.fna	205	34	-	completegenome	-
NC_003098.fna	595	378	-	completegenome	-
NC_008533.fna	595	378	-	completegenome	-
NC_010380.fna	268	0	-	completegenome	-
NC_010582.fna	15	3	-	completegenome	-
NC_011072.fna	-	null	-	completegenome	-
NC_011900.fna	81	1	-	completegenome	-
NC_012466.fna	66	1	-	completegenome	-
NC_012467.fna	303	15	-	completegenome	-
NC_012468.fna	289	25	-	completegenome	-
NC_012469.fna	236	2	-	completegenome	-
NC_014251.fna	320	2	-	completegenome	-
NC_014494.fna	62	9	-	completegenome	-
NC_014498.fna	90	0	-	completegenome	-
NC_017591.fna	227	18	-	completegenome	-
NC_017592.fna	180	12	3	completegenome	-
NC_017593.fna	9	3	-	completegenome	-
NC_017769.fna	1392	2	-	completegenome	-
NC_018594.fna	6934	1873	-	completegenome	-
NC_018630.fna	618	15	-	completegenome	-
NC_021003.fna	306	18	-	completegenome	-
NC_021004.fna	306	18	-	completegenome	-
NC_021005.fna	180	12	3	completegenome	-
NC_021006.fna	180	12	3	completegenome	-
NC_021026.fna	180	12	3	completegenome	-
NC_021028.fna	180	12	3	completegenome	-
NC_022655.fna	271	2	-	completegenome	-
10.spades_contigs.fasta	180	12	3	imm	-
10.velvet_contigs.fasta	180	12	3	imm	-
11.spades_contigs.fasta	1220	82	3	imm	-
11.velvet_contigs.fasta	1220	82	3	imm	-
12.spades_contigs.fasta	458	44	3	imm	-
12.velvet_contigs.fasta	458	44	3	imm	-
13.spades_contigs.fasta	180	12	3	imm	-
13.velvet_contigs.fasta	180	12	3	imm	-
15.spades_contigs.fasta	458	44	3	imm	-
15.velvet_contigs.fasta	458	44	3	imm	-
16.spades_contigs.fasta	232	45	3	imm	-
16.velvet_contigs.fasta	232	45	3	imm	-
18.spades_contigs.fasta	260	82	3	imm	-
18.velvet_contigs.fasta	260	82	3	imm	-
1.spades_contigs.fasta	1230	12	3	imm	-
1.velvet_contigs.fasta	1230	12	3	imm	-
20.spades_contigs.fasta	-	null	3	imm	-
20.velvet_contigs.fasta	180	12	3	imm	-
21.spades_contigs.fasta	458	44	3	imm	-
21.velvet_contigs.fasta	458	44	3	imm	-
25.spades_contigs.fasta	260	82	3	imm	-
25.velvet_contigs.fasta	260	82	3	imm	-
31.spades_contigs.fasta	2407	12	3	imm	-
31.velvet_contigs.fasta	2407	12	3	imm	-
33.spades_contigs.fasta	1230	12	3	imm	-
33.velvet_contigs.fasta	1230	12	3	imm	-
34.spades_contigs.fasta	232	45	3	imm	-
34.velvet_contigs.fasta	232	45	3	imm	-
37.spades_contigs.fasta	1377	45	3	imm	-
37.velvet_contigs.fasta	1377	45	3	imm	-
39.spades_contigs.fasta	458	44	3	imm	-
39.velvet_contigs.fasta	458	44	3	imm	-
42.spades_contigs.fasta	6014	45	3	imm	-
42.velvet_contigs.fasta	6014	45	3	imm	-
44.spades_contigs.fasta	180	12	3	imm	-
44.velvet_contigs.fasta	180	12	3	imm	-
46.spades_contigs.fasta	505	12	3	imm	-
46.velvet_contigs.fasta	505	12	3	imm	-
47.spades_contigs.fasta	260	82	3	imm	-
47.velvet_contigs.fasta	260	82	3	imm	-
49.spades_contigs.fasta	1230	12	3	imm	-
49.velvet_contigs.fasta	1230	12	3	imm	-
4.spades_contigs.fasta	232	45	3	imm	-
4.velvet_contigs.fasta	232	45	3	imm	-
6.spades_contigs.fasta	1230	12	3	imm	-
6.velvet_contigs.fasta	1230	12	3	imm	-
8.spades_contigs.fasta	458	44	3	imm	-
8.velvet_contigs.fasta	458	44	3	imm	-
9.spades_contigs.fasta	260	82	3	imm	-
9.velvet_contigs.fasta	260	82	3	imm	-
14.spades_contigs.fasta	350	18	1	imm	-
14.velvet_contigs.fasta	350	18	1	imm	-
17.spades_contigs.fasta	304	18	1	imm	-
17.velvet_contigs.fasta	304	18	1	imm	-
19.spades_contigs.fasta	306	18	1	imm	-
19.velvet_contigs.fasta	306	18	1	imm	-
22.spades_contigs.fasta	304	18	1	imm	-
22.velvet_contigs.fasta	304	18	1	imm	-
23.spades_contigs.fasta	306	18	1	imm	-
23.velvet_contigs.fasta	306	18	1	imm	-
24.spades_contigs.fasta	304	18	1	imm	-
24.velvet_contigs.fasta	304	18	1	imm	-
26.spades_contigs.fasta	227	18	1	imm	-
26.velvet_contigs.fasta	227	18	1	imm	-
27.spades_contigs.fasta	306	18	1	imm	-
27.velvet_contigs.fasta	306	18	1	imm	-
28.spades_contigs.fasta	4579	18	1	imm	-
28.velvet_contigs.fasta	4579	18	1	imm	-
29.spades_contigs.fasta	306	18	1	imm	-
29.velvet_contigs.fasta	306	18	1	imm	-
30.spades_contigs.fasta	304	18	1	imm	-
30.velvet_contigs.fasta	304	18	1	imm	-
32.spades_contigs.fasta	304	18	1	imm	-
32.velvet_contigs.fasta	304	18	1	imm	-
35.spades_contigs.fasta	306	18	1	imm	-
35.velvet_contigs.fasta	306	18	1	imm	-
36.spades_contigs.fasta	228	18	1	imm	-
36.velvet_contigs.fasta	228	18	1	imm	-
38.spades_contigs.fasta	306	18	1	imm	-
38.velvet_contigs.fasta	306	18	1	imm	-
3.spades_contigs.fasta	304	18	1	imm	-
3.velvet_contigs.fasta	304	18	1	imm	-
40.spades_contigs.fasta	306	18	1	imm	-
40.velvet_contigs.fasta	306	18	1	imm	-
41.spades_contigs.fasta	350	18	1	imm	-
41.velvet_contigs.fasta	350	18	1	imm	-
43.spades_contigs.fasta	306	18	1	imm	-
43.velvet_contigs.fasta	306	18	1	imm	-
45.spades_contigs.fasta	306	18	1	imm	-
45.velvet_contigs.fasta	306	18	1	imm	-
48.spades_contigs.fasta	4254	18	1	imm	-
48.velvet_contigs.fasta	4254	18	1	imm	-
50.spades_contigs.fasta	306	18	1	imm	-
50.velvet_contigs.fasta	306	18	1	imm	-
5.spades_contigs.fasta	306	18	1	imm	-
5.velvet_contigs.fasta	306	18	1	imm	-
7.spades_contigs.fasta	304	18	1	imm	-
7.velvet_contigs.fasta	304	18	1	imm	-
ERR025280.fa	180	-	3	crouchersero3	-
ERR025281.fa	505	-	3	crouchersero3	-
ERR025282.fa	180	-	3	crouchersero3	-
ERR025283.fa	180	-	3	crouchersero3	-
ERR025284.fa	-	-	3	crouchersero3	-
ERR025285.fa	180	-	3	crouchersero3	-
ERR025286.fa	180	-	3	crouchersero3	-
ERR025287.fa	180	-	3	crouchersero3	-
ERR025288.fa	180	-	3	crouchersero3	-
ERR025289.fa	180	-	3	crouchersero3	-
ERR025290.fa	180	-	3	crouchersero3	-
ERR025291.fa	-	-	3	crouchersero3	-
ERR025293.fa	180	-	3	crouchersero3	-
ERR025294.fa	180	-	3	crouchersero3	-
ERR025295.fa	180	-	3	crouchersero3	-
ERR025296.fa	180	-	3	crouchersero3	-
ERR025297.fa	1826	-	3	crouchersero3	-
ERR025298.fa	180	-	3	crouchersero3	-
ERR025301.fa	180	-	3	crouchersero3	-
ERR025302.fa	180	-	3	crouchersero3	-
ERR025303.fa	180	-	3	crouchersero3	-
ERR025304.fa	180	-	3	crouchersero3	-
ERR025306.fa	180	-	3	crouchersero3	-
ERR025307.fa	180	-	3	crouchersero3	-
ERR025308.fa	180	-	3	crouchersero3	-
ERR025309.fa	180	-	3	crouchersero3	-
ERR025310.fa	180	-	3	crouchersero3	-
ERR025311.fa	180	-	3	crouchersero3	-
ERR025312.fa	180	-	3	crouchersero3	-
ERR025313.fa	180	-	3	crouchersero3	-
ERR025314.fa	-	-	3	crouchersero3	-
ERR025315.fa	180	-	3	crouchersero3	-
ERR025316.fa	180	-	3	crouchersero3	-
ERR025318.fa	180	-	3	crouchersero3	-
ERR025319.fa	180	-	3	crouchersero3	-
ERR025320.fa	180	-	3	crouchersero3	-
ERR025321.fa	180	-	3	crouchersero3	-
ERR025322.fa	180	-	3	crouchersero3	-
ERR025323.fa	180	-	3	crouchersero3	-
ERR025324.fa	180	-	3	crouchersero3	-
ERR025325.fa	180	-	3	crouchersero3	-
ERR025326.fa	180	-	3	crouchersero3	-
ERR025327.fa	180	-	3	crouchersero3	-
ERR026213.fa	180	-	3	crouchersero3	-
ERR026214.fa	180	-	3	crouchersero3	-
ERR026215.fa	180	-	3	crouchersero3	-
ERR026216.fa	180	-	3	crouchersero3	-
ERR026217.fa	180	-	3	crouchersero3	-
ERR026218.fa	180	-	3	crouchersero3	-
ERR026219.fa	180	-	3	crouchersero3	-
ERR026220.fa	180	-	3	crouchersero3	-
ERR026222.fa	180	-	3	crouchersero3	-
ERR026224.fa	180	-	3	crouchersero3	-
ERR026225.fa	180	-	3	crouchersero3	-
ERR026226.fa	180	-	3	crouchersero3	-
ERR026227.fa	180	-	3	crouchersero3	-
ERR026228.fa	180	-	3	crouchersero3	-
ERR026230.fa	180	-	3	crouchersero3	-
ERR026231.fa	180	-	3	crouchersero3	-
ERR026232.fa	180	-	3	crouchersero3	-
ERR026233.fa	180	-	3	crouchersero3	-
ERR026234.fa	180	-	3	crouchersero3	-
ERR026235.fa	505	-	3	crouchersero3	-
ERR026237.fa	180	-	3	crouchersero3	-
ERR026238.fa	180	-	3	crouchersero3	-
ERR026239.fa	180	-	3	crouchersero3	-
ERR026240.fa	180	-	3	crouchersero3	-
ERR026241.fa	180	-	3	crouchersero3	-
ERR026242.fa	180	-	3	crouchersero3	-
ERR026243.fa	180	-	3	crouchersero3	-
ERR026244.fa	180	-	3	crouchersero3	-
ERR026245.fa	180	-	3	crouchersero3	-
ERR026246.fa	180	-	3	crouchersero3	-
ERR026247.fa	180	-	3	crouchersero3	-
ERR026248.fa	180	-	3	crouchersero3	-
FQ312041.fa	180	-	3	crouchersero3	-
FQ312043.fa	180	-	3	crouchersero3	-
FQ312044.fa	180	-	3	crouchersero3	-
FQ312045.fa	180	-	3	crouchersero3	-
CACH01000001-CACH01000022.fasta	180	-	3	crouchersero3	-
CACI01000001-CACI01000025.fasta	-	-	3	crouchersero3	-
FQ312027.fasta	180	-	3	crouchersero3	-
ERR047925.fa	8799	-	3	Chewapreechasero3	78
ERR047953.fa	-	-	3	Chewapreechasero3	4389
ERR047970.fa	-	-	3	Chewapreechasero3	4389
ERR047971.fa	-	-	3	Chewapreechasero3	4389
ERR047993.fa	-	-	3	Chewapreechasero3	4389
ERR048003.fa	-	-	3	Chewapreechasero3	180
ERR048005.fa	-	-	3	Chewapreechasero3	4389
ERR048063.fa	180	-	3	Chewapreechasero3	180
ERR048076.fa	458	-	3	Chewapreechasero3	63
ERR048079.fa	458	-	3	Chewapreechasero3	1439
ERR048116.fa	458	-	3	Chewapreechasero3	458
ERR048175.fa	-	-	3	Chewapreechasero3	4389
ERR049108.fa	458	-	3	Chewapreechasero3	458
ERR049941.fa	4389	-	3	Chewapreechasero3	4389
ERR050059.fa	4389	-	3	Chewapreechasero3	4389
ERR050070.fa	4389	-	3	Chewapreechasero3	4389
ERR051460.fa	-	-	3	Chewapreechasero3	4389
ERR051605.fa	-	-	3	Chewapreechasero3	180
ERR052591.fa	4389	-	3	Chewapreechasero3	4389
ERR052646.fa	4389	-	3	Chewapreechasero3	4389
ERR054261.fa	4389	-	3	Chewapreechasero3	4389
ERR054279.fa	4389	-	3	Chewapreechasero3	4389
